project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
0,JavaScript,https://github.com/30-seconds/30-seconds-of-code.git,false,false,false,82198,82198,28244,5,,,,8853,2269,JavaScript,25131612,true,true,true,false,1511976903,1630139103,1630134172,"master","Creative Commons Zero v1.0 Universal","https://www.30secondsofcode.org/js/p/1","Short JavaScript code snippets for all your development needs",1,760,47,24,48
1,SmallProjects,https://github.com/3521woj/inori-bot.git,false,false,false,0,0,15251,0,,,,0,1,JavaScript,3540884,true,true,true,false,1579794963,1580738810,1580738807,"master","","","",1,219,16,9,17
2,JavaScript,https://github.com/4geeksacademy/react-tutorial-exercises.git,false,false,false,206,206,19340,5,,,,160,9,JavaScript,151343941,true,true,true,true,1534579762,1629736397,1629246079,"master","Other","https://breatheco.de/interactive-exercise/react-exercises","Learn and practice React.js in this interactive tutorial with dozens of react exercises.",4,246,24,17,25
3,JavaScript,https://github.com/6gawd/whatsfordinner3.git,false,false,false,0,0,89232,14,,,,0,1,JavaScript,,true,true,true,false,1584936025,1592327369,1628741797,"master","","","Speech to Text API that helps you with your grocery shopping and figuring out what to eat for dinner!",15,15,0,0,0
4,JavaScript,https://github.com/78/ssbc.git,false,false,false,1398,1398,1229,7,,,,815,80,JavaScript,,true,true,true,false,1431111029,1629860057,1613748839,"master","GNU General Public License v2.0","","手撕包菜网站",3,3,0,0,0
5,JavaScript,https://github.com/a-wing/webrtc-book-cn.git,false,false,false,774,774,37305,13,,,,74,34,JavaScript,,true,true,false,true,1585931050,1630030825,1628747689,"master","","https://a-wing.github.io/webrtc-book-cn/","中文翻译 《 Real-Time Communication with WebRTC 》",15,15,0,0,0
6,SmallProjects,https://github.com/absolute-music/dblcore.js.git,false,false,false,1,1,12,0,,,,1,1,JavaScript,62876722,true,true,true,false,1571028235,1591238493,1571028237,"master","Apache License 2.0","","",1,1035,66,27,67
7,JavaScript,https://github.com/achrou/goindex-theme-acrou.git,false,false,false,1543,1543,4040,77,,,,920,50,JavaScript,,true,true,true,false,1587053724,1630114696,1628768717,"master","MIT License","https://ossdev.node6.workers.dev/","This is a goindex theme.一个goindex的扩展主题。",20,19,0,0,0
8,JavaScript,https://github.com/kotatu0047/webpack-test.git,false,false,false,0,0,1768,15,,,,0,1,JavaScript,,true,true,true,false,1572953910,1576986709,1628698134,"master","","","",16,16,0,0,0
9,JavaScript,https://github.com/acornapps/cocktail-manual.git,false,false,false,0,0,223442,10,,,,1,0,JavaScript,,true,true,true,true,1562646412,1593066294,1628660485,"master","MIT License","","",11,11,0,0,0
10,JavaScript,https://github.com/adarkazanli96/irated.git,false,false,false,0,0,17963,12,,,,1,1,JavaScript,25547718,true,true,true,false,1586218890,1589180912,1628763545,"master","","","",15,804,48,25,49
11,JavaScript,https://github.com/adityadalal4/coursera.github.io.git,false,false,false,0,0,10815,0,,,,0,0,JavaScript,24210811,true,true,true,true,1584890340,1586000662,1586000659,"master","","https://github.com/adityadalal4/coursera.git","Course 1.",1,699,45,23,46
12,JavaScript,https://github.com/adrianhajdin/project_corona_tracker.git,false,false,false,1301,1301,954,20,,,,323,23,JavaScript,,true,true,true,false,1585351803,1630105262,1624791858,"master","","https://covid19statswebsite.netlify.com/","This is a code repository for the corresponding YouTube video. In this tutorial, we are going to build and deploy a corona tracker application. Covered topics: React.js, Chart.js, Material UI, and much more.",2,2,0,0,0
13,JavaScript,https://github.com/afenichel/engi4800-capstone.git,false,false,false,0,0,48099,0,,,,0,0,JavaScript,,true,true,true,false,1479480923,1480357723,1481582368,"master","Apache License 2.0","","",2,2,0,0,0
14,JavaScript,https://github.com/affinelayer/pix2pix-tensorflow.git,false,false,false,4935,4935,13656,141,,,,1299,185,JavaScript,,true,true,true,false,1485289033,1629082438,1612247962,"master","MIT License","","Tensorflow port of Image-to-Image Translation with Conditional Adversarial Nets https://phillipi.github.io/pix2pix/",1,1,0,0,0
15,JavaScript,https://github.com/ahmedadelfahim/pull-demo.git,false,false,false,0,0,4301,11,,,,0,1,JavaScript,,true,true,true,false,1586114459,1586114527,1628748514,"master","","","",12,12,0,0,0
