project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
3883,Generic,https://github.com/electron/electron.git,,,,58039,,,,,,,107,27175,1134,6460,66467,684,1141,234294529,,,,,,,,"","","","",34956,17478,17478
57330,Generic,https://github.com/rocketchat/rocket.chat.git,,,,26914,,,,,,,195,20576,798,12715,71566,425,804,165504963,,,,,,,,"","","","",34948,17474,17474
144873,Generic,https://github.com/atom/atom.git,,,,56673,,,,,,,183,38094,558,11633,64968,495,566,283703248,,,,,,,,"","","","",34354,17177,17177
79793,Generic,https://github.com/fastlane/fastlane.git,,,,24147,,,,,,,85,16121,1337,5229,31830,544,1353,187316003,,,,,,,,"","","","",27310,13655,13655
4187,Generic,https://github.com/microsoft/vcpkg.git,,,,8238,,,,,,,2,11500,1131,6622,34022,431,1135,123171310,,,,,,,,"","","","",22390,11195,11195
137629,Generic,https://github.com/os-autoinst/os-autoinst-distri-opensuse.git,,,,60,,,,,,,14,21792,301,4599,33375,262,309,302164754,,,,,,,,"","","","",18894,9447,9447
108438,Generic,https://github.com/metabase/metabase.git,,,,18586,,,,,,,247,21100,275,7306,59421,160,280,174535932,,,,,,,,"","","","",18728,9364,9364
60207,Generic,https://github.com/linuxmint/cinnamon.git,,,,3496,,,,,,,16,7703,283,1994,15332,160,287,288006245,,,,,,,,"","","","",18346,9173,9173
124991,Generic,https://github.com/scala/scala.git,,,,13250,,,,,,,7,36376,643,27082,141071,553,658,552254753,,,,,,,,"","","","",18186,9093,9093
40182,Generic,https://github.com/codelingo/gh_int_test.git,,,,0,,,,,,,9,29,5,14,20,6,6,28875417,,,,,,,,"","","","",18068,9034,9034
101760,Generic,https://github.com/home-assistant/core.git,,,,2740,,,,,,,43,29485,2294,22418,116324,272,2298,218174721,,,,,,,,"","","","",16238,8119,8119
36635,Generic,https://github.com/vmware/vic.git,,,,599,,,,,,,43,4747,92,18760,30933,64,96,137354464,,,,,,,,"","","","",16094,8047,8047
109487,Generic,https://github.com/status-im/status-react.git,,,,3029,,,,,,,112,6309,260,7298,38003,71,262,141337795,,,,,,,,"","","","",15666,7833,7833
63728,Generic,https://github.com/vector-im/riot-web.git,,,,3938,,,,,,,968,9871,461,2104,12957,99,462,163533177,,,,,,,,"","","","",15666,7833,7833
130222,Generic,https://github.com/hail-is/hail.git,,,,561,,,,,,,3,7773,80,7377,39556,37,81,159693061,,,,,,,,"","","","",14730,7365,7365
158646,Generic,https://github.com/desktop/desktop.git,,,,9408,,,,,,,45,27537,259,2989,37933,195,262,134713153,,,,,,,,"","","","",14428,7214,7214
96310,Generic,https://github.com/docker/compose.git,,,,14364,,,,,,,63,5862,407,598,8490,326,430,210650492,,,,,,,,"","","","",13736,6868,6868
147017,Generic,https://github.com/hashicorp/nomad.git,,,,5979,,,,,,,347,22581,517,16228,60379,353,523,164284695,,,,,,,,"","","","",13668,6834,6834
38403,Generic,https://github.com/knative/serving.git,,,,2390,,,,,,,17,5059,231,15893,45279,18,233,80423384,,,,,,,,"","","","",13612,6806,6806
77383,Generic,https://github.com/diaspora/diaspora.git,,,,14771,,,,,,,3,20231,532,6253,66748,420,548,317960703,,,,,,,,"","","","",13598,6799,6799
94465,Generic,https://github.com/theano/theano.git,,,,9902,,,,,,,3,28220,537,2206,41026,460,542,396210001,,,,,,,,"","","","",13512,6756,6756
59277,Generic,https://github.com/wireapp/wire-webapp.git,,,,986,,,,,,,29,8921,54,3275,33040,31,55,128418241,,,,,,,,"","","","",13308,6654,6654
34969,Generic,https://github.com/lxc/lxd.git,,,,2529,,,,,,,4,19652,245,1457,32592,208,257,182154535,,,,,,,,"","","","",12964,6482,6482
177638,Generic,https://github.com/xcat2/xcat-core.git,,,,253,,,,,,,45,30774,190,8728,43503,171,191,404337327,,,,,,,,"","","","",12894,6447,6447
126068,Generic,https://github.com/mesosphere/marathon.git,,,,3789,,,,,,,39,8302,380,4614,31021,283,392,225148509,,,,,,,,"","","","",12694,6347,6347
63532,Generic,https://github.com/devtools-html/debugger.html.git,,,,4421,,,,,,,437,7356,404,5145,22226,73,405,120186813,,,,,,,,"","","","",12570,6285,6285
96104,Generic,https://github.com/stamparm/maltrail.git,,,,3393,,,,,,,1,36188,30,2091,35430,19,31,179596901,,,,,,,,"","","","",12548,6274,6274
115789,Generic,https://github.com/haskell/cabal.git,,,,1251,,,,,,,65,18257,446,5967,32124,383,449,513883976,,,,,,,,"","","","",12054,6027,6027
115779,Generic,https://github.com/jgm/pandoc.git,,,,17548,,,,,,,47,13853,399,2601,28338,212,401,437673631,,,,,,,,"","","","",11762,5881,5881
28272,Generic,https://github.com/realm/realm-cocoa.git,,,,14259,,,,,,,65,12172,172,4930,29612,137,173,262724441,,,,,,,,"","","","",11520,5760,5760
97237,Generic,https://github.com/sickrage/sickrage.git,,,,1702,,,,,,,2,12018,250,133801,122649,246,254,202813600,,,,,,,,"","","","",11516,5758,5758
42537,Generic,https://github.com/git-roll/expert-garbanzo.git,,,,0,,,,,,,718,17713,3,12199,18126,3,4,1065065,,,,,,,,"","","","",11362,5681,5681
203224,Generic,https://github.com/intelrealsense/librealsense.git,,,,3541,,,,,,,9,10601,333,8737,36329,251,340,160457844,,,,,,,,"","","","",11288,5644,5644
128396,Generic,https://github.com/broadinstitute/cromwell.git,,,,495,,,,,,,257,6136,140,13412,32383,79,143,168254410,,,,,,,,"","","","",10310,5155,5155
156313,Generic,https://github.com/mozilla/treeherder.git,,,,180,,,,,,,79,11141,263,3294,30404,121,266,360910589,,,,,,,,"","","","",10248,5124,5124
17559,Generic,https://github.com/aspnetboilerplate/aspnetboilerplate.git,,,,7879,,,,,,,18,6697,201,9279,27109,154,202,220446543,,,,,,,,"","","","",10166,5083,5083
8964,Generic,https://github.com/rathena/rathena.git,,,,1458,,,,,,,68,17343,289,5933,72784,217,290,497803712,,,,,,,,"","","","",10148,5074,5074
59336,Generic,https://github.com/artsy/force.git,,,,234,,,,,,,112,25945,143,62869,82992,123,146,213517368,,,,,,,,"","","","",10102,5051,5051
200383,Generic,https://github.com/zooniverse/panoptes-front-end.git,,,,65,,,,,,,35,7558,94,1975,14872,63,95,198293458,,,,,,,,"","","","",9978,4989,4989
53511,Generic,https://github.com/codecombat/codecombat.git,,,,7657,,,,,,,388,19124,781,5981,53043,615,783,210508995,,,,,,,,"","","","",9960,4980,4980
120249,Generic,https://github.com/commercialhaskell/stack.git,,,,3438,,,,,,,66,8416,438,1453,18352,361,446,166387392,,,,,,,,"","","","",9880,4940,4940
69750,Generic,https://github.com/open-learning-exchange/planet.git,,,,21,,,,,,,70,3104,84,718,8091,17,85,96823555,,,,,,,,"","","","",9676,4838,4838
17204,Generic,https://github.com/volkanceylan/serenity.git,,,,1929,,,,,,,22,3221,36,12857,19470,20,37,220088360,,,,,,,,"","","","",9668,4834,4834
154772,Generic,https://github.com/gogits/gogs.git,,,,25231,,,,,,,2,5394,502,4735,24278,272,505,205500459,,,,,,,,"","","","",9616,4808,4808
133956,Generic,https://github.com/inverse-inc/packetfence.git,,,,717,,,,,,,551,42299,112,16081,98547,81,114,388660157,,,,,,,,"","","","",9554,4777,4777
11450,Generic,https://github.com/bilibili/ijkplayer.git,,,,25220,,,,,,,6,2593,59,2141,7556,25,60,147679771,,,,,,,,"","","","",9542,4771,4771
72206,Generic,https://github.com/aws/aws-cdk.git,,,,1321,,,,,,,76,4591,471,11721,62791,36,472,90318205,,,,,,,,"","","","",9198,4599,4599
2751,Generic,https://github.com/arvidn/libtorrent.git,,,,2386,,,,,,,76,16392,117,1980,60645,45,119,530676403,,,,,,,,"","","","",9154,4577,4577
2188,Generic,https://github.com/boinc/boinc.git,,,,1161,,,,,,,141,41801,193,16201,125914,153,199,587680931,,,,,,,,"","","","",8996,4498,4498
3135,Generic,https://github.com/scylladb/scylla.git,,,,5886,,,,,,,46,26410,122,10811,52850,63,126,189862169,,,,,,,,"","","","",8932,4466,4466
