project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
102539,Generic,https://github.com/dilucious/gitfiti.git,,,,0,,,,,,,2,322466,19,25,121,20,20,220124433,,,,,,,,"","","","",0,0,0
87147,Generic,https://github.com/jdbevan/heartinternetstatus.git,,,,1,,,,,,,2,305315,3,18,303198,3,3,109099669,,,,,,,,"","","","",0,0,0
2739,Generic,https://github.com/tarunprabhu/dragonegg.git,,,,0,,,,,,,6,138563,512,577,2919,512,512,1485989047,,,,,,,,"","","","",0,0,0
79457,Generic,https://github.com/tmtmtmtm/kenya-mzalendo.git,,,,0,,,,,,,4,109839,7,1672,116307,7,8,84644273,,,,,,,,"","","","",4,2,2
59283,Generic,https://github.com/koding/koding.git,,,,1506,,,,,,,37,100020,160,131027,209970,150,163,210972887,,,,,,,,"","","","",5882,2941,2941
143523,Generic,https://github.com/qiyao/gdb.git,,,,0,,,,,,,9,96113,444,26766,251989,444,445,537537366,,,,,,,,"","","","",0,0,0
88804,Generic,https://github.com/projectestac/agora_moodle2.git,,,,0,,,,,,,13,84938,866,91430,274783,651,889,590577844,,,,,,,,"","","","",26,13,13
87116,Generic,https://github.com/openfcci/wordpress.git,,,,0,,,,,,,323,80370,68,4663,108985,68,68,469341739,,,,,,,,"","","","",2,1,1
147593,Generic,https://github.com/sown/openwrt.git,,,,1,,,,,,,6,75023,203,56302,114332,133,207,446238871,,,,,,,,"","","","",0,0,0
115819,Generic,https://github.com/ghc/ghc.git,,,,2299,,,,,,,2028,69893,776,39449,227757,282,784,776463886,,,,,,,,"","","","",514,257,257
102956,Generic,https://github.com/haithemsekri/poky.git,,,,0,,,,,,,53,68124,1339,41554,114639,60,1339,464609838,,,,,,,,"","","","",0,0,0
