project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
1,Generic,https://github.com/simongog/sdsl.git,,,,100,,,,,,,9,401,6,2462,4243,6,6,51262132,,,,,,,,"","","","",82,41,41
3,Generic,https://github.com/rovinbhandari/programming_scripting.git,,,,9,,,,,,,6,107,3,4528,2783,4,4,249291895,,,,,,,,"","","","",4,2,2
15,Generic,https://github.com/blackrim/phlawd.git,,,,9,,,,,,,3,173,7,170,497,8,8,246420369,,,,,,,,"","","","",14,7,7
18,Generic,https://github.com/adamserafini/suffix-tree.git,,,,1,,,,,,,3,172,2,97,563,3,3,177694594,,,,,,,,"","","","",0,0,0
23,Generic,https://github.com/fornellas/sfrgbledmatrix.git,,,,9,,,,,,,2,50,2,80,159,2,3,203943744,,,,,,,,"","","","",6,3,3
28,Generic,https://github.com/behdad/harfbuzz.git,,,,529,,,,,,,19,11164,168,4424,26233,62,176,620096877,,,,,,,,"","","","",1194,597,597
29,Generic,https://github.com/yiping/dynamechs.git,,,,7,,,,,,,11,262,2,824,1996,2,2,69643324,,,,,,,,"","","","",0,0,0
34,Generic,https://github.com/gmanny/pechkin.git,,,,365,,,,,,,1,31,4,178,251,4,5,244941977,,,,,,,,"","","","",200,100,100
40,Generic,https://github.com/sthalik/headtracker.git,,,,21,,,,,,,2,504,2,412,2044,2,2,103431494,,,,,,,,"","","","",12,6,6
42,Generic,https://github.com/daviddoria/interactiveimagegraphcutsegmentation.git,,,,37,,,,,,,1,72,2,79,296,2,2,84303326,,,,,,,,"","","","",4,2,2
47,Generic,https://github.com/alamaison/swish.git,,,,205,,,,,,,18,1119,6,1358,6635,6,6,306126708,,,,,,,,"","","","",6,3,3
48,Generic,https://github.com/wang-bin/libprojwizard4qtcreator.git,,,,4,,,,,,,1,67,2,21,112,2,2,64499996,,,,,,,,"","","","",30,15,15
49,Generic,https://github.com/daviddoria/itkvtkhelpers.git,,,,3,,,,,,,1,86,2,12,136,2,2,100491653,,,,,,,,"","","","",0,0,0
57,Generic,https://github.com/libyui/libyui-ncurses-pkg.git,,,,4,,,,,,,22,516,25,114,1379,25,27,394397218,,,,,,,,"","","","",72,36,36
59,Generic,https://github.com/peteratt/ida.git,,,,3,,,,,,,5,176,2,284,687,3,3,3216282,,,,,,,,"","","","",0,0,0
65,Generic,https://github.com/berenm/libgtulu.git,,,,9,,,,,,,21,201,3,1303,2316,3,3,108859618,,,,,,,,"","","","",2,1,1
69,Generic,https://github.com/tractor/tractor.git,,,,7,,,,,,,20,2876,6,2603,7757,4,7,393781495,,,,,,,,"","","","",0,0,0
70,Generic,https://github.com/ghalfacree/arduino-sketches.git,,,,22,,,,,,,1,63,2,1028,890,2,2,159661878,,,,,,,,"","","","",0,0,0
