project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
184779,Generic,https://github.com/executabls/dsl-n14u_gpl.git,,,,1,,,,,,,2,1,1,78640,64708,1,1,0,,,,,,,,"","","","",2,1,1
173857,Generic,https://github.com/pranavpadmasali/angular-demo.git,,,,1,,,,,,,1,4,2,58964,27008,2,3,2176,,,,,,,,"","","","",0,0,0
194933,Generic,https://github.com/batzn/boost_1_70_0_b1_vc142.git,,,,0,,,,,,,1,2,1,63154,60982,1,1,3189,,,,,,,,"","","","",0,0,0
207759,Generic,https://github.com/kaidoho/gcc-zephyr.git,,,,0,,,,,,,1,3,2,88833,87953,3,3,518001,,,,,,,,"","","","",0,0,0
191695,Generic,https://github.com/fzcheng/cocos2d-x-3.6.git,,,,0,,,,,,,1,2,1,40433,10185,1,1,78569,,,,,,,,"","","","",0,0,0
111568,Generic,https://github.com/marek-sed/learn-reframe.git,,,,0,,,,,,,1,88,2,425421,30075,2,3,8203157,,,,,,,,"","","","",0,0,0
169242,Generic,https://github.com/curtisaallen/weatherapp.git,,,,0,,,,,,,1,2,1,22096,16179,1,1,285,,,,,,,,"","","","",0,0,0
198507,Generic,https://github.com/prajjwaldangal/track-linux-preempt-rt.git,,,,0,,,,,,,1,6,2,65826,65517,2,3,96264,,,,,,,,"","","","",0,0,0
168236,Generic,https://github.com/oct-mm/lgd850_g3_m_kernel.git,,,,0,,,,,,,1,2,1,43856,43021,1,1,419,,,,,,,,"","","","",0,0,0
219213,Generic,https://github.com/renzcerico/smrf.git,,,,0,,,,,,,1,2,2,40078,30385,2,3,56975,,,,,,,,"","","","",0,0,0
111231,Generic,https://github.com/aeberts/learn-re-frame-course.git,,,,0,,,,,,,1,98,3,425441,30116,3,4,25403213,,,,,,,,"","","","",0,0,0
111250,Generic,https://github.com/aaronaddleman/learn-re-frame-course-files.git,,,,0,,,,,,,1,99,3,425440,30103,3,4,18688303,,,,,,,,"","","","",0,0,0
111766,Generic,https://github.com/nharsch/learn_reframe.git,,,,0,,,,,,,1,99,3,425438,30127,4,5,35373164,,,,,,,,"","","","",0,0,0
174794,Generic,https://github.com/filipedonde/proagil.git,,,,0,,,,,,,1,6,1,57332,25987,1,1,627117,,,,,,,,"","","","",0,0,0
188679,Generic,https://github.com/majunggil/nexus7_android-tegra3-grouper-3.1-kitkat-mr1_dm-verity.git,,,,0,,,,,,,1,2,1,38124,37771,1,1,885,,,,,,,,"","","","",0,0,0
171005,Generic,https://github.com/kmeeraj/covalent-template.git,,,,0,,,,,,,1,2,2,37509,28275,2,3,674643,,,,,,,,"","","","",0,0,0
191069,Generic,https://github.com/ichitaso/ios9.0.2-iphoneheaders.git,,,,19,,,,,,,1,3,2,53031,53026,2,2,583,,,,,,,,"","","","",0,0,0
206501,Generic,https://github.com/coinninjadev/android-libbitcoin.git,,,,0,,,,,,,1,3,1,50305,12426,1,1,332409,,,,,,,,"","","","",0,0,0
202966,Generic,https://github.com/garyvan/openwrt-1.7.git,,,,1,,,,,,,1,4,1,67041,56398,1,1,1481645,,,,,,,,"","","","",0,0,0
174596,Generic,https://github.com/supernote-ratta/kernel.git,,,,0,,,,,,,1,3,2,50137,49839,2,3,149919,,,,,,,,"","","","",0,0,0
196540,Generic,https://github.com/acsac19-p24/upa.git,,,,0,,,,,,,5,5,2,82108,65996,2,3,32887981,,,,,,,,"","","","",10,5,5
207687,Generic,https://github.com/learnwithratnesh/vue-stencil-vega.git,,,,0,,,,,,,1,2,2,31384,21038,2,3,410,,,,,,,,"","","","",0,0,0
208192,Generic,https://github.com/carsongrace/vr_foundations.git,,,,0,,,,,,,1,3,1,45901,22452,1,1,252525,,,,,,,,"","","","",0,0,0
213970,Generic,https://github.com/arteml/gcc-ilp32.git,,,,0,,,,,,,1,5,2,71962,70139,2,2,16323,,,,,,,,"","","","",0,0,0
208308,Generic,https://github.com/metaln00b/linux-4.9.124.git,,,,0,,,,,,,2,4,1,56324,55968,2,2,8703,,,,,,,,"","","","",0,0,0
