project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
92899,Generic,https://github.com/pantheon-training-org/jketo-drupalcon-seattle-2019.git,,,,0,,,,,,,143,150,4,216,264,5,6,12049134,,,,,,,,"","","","",96,48,48
219411,Generic,https://github.com/xxxmailk/kiwi.git,,,,0,,,,,,,2,6,1,322,323,1,1,96549,,,,,,,,"","","","",0,0,0
93048,Generic,https://github.com/kbrinner/pantheon-circleci.git,,,,0,,,,,,,4,108,2,214,314,2,2,32242474,,,,,,,,"","","","",4,2,2
93084,Generic,https://github.com/emmanuelhallarsis/emman-d8-composer-project.git,,,,0,,,,,,,11,174,3,261,433,6,7,33470248,,,,,,,,"","","","",0,0,0
190857,Generic,https://github.com/matt529/cueballbot-scripts.git,,,,0,,,,,,,1,1,1,32,25,1,1,0,,,,,,,,"","","","",4,2,2
143976,Generic,https://github.com/coerll/spintxpedagogicalannotation.git,,,,1,,,,,,,1,83,1,28,224,1,1,18157510,,,,,,,,"","","","",6,3,3
219972,Generic,https://github.com/visecacard/flink-commons.git,,,,2,,,,,,,1,2,2,268,211,2,2,36362185,,,,,,,,"","","","",0,0,0
96953,Generic,https://github.com/shawndaniel/python-examples.git,,,,3,,,,,,,1,1,1,12,12,1,1,40735150,,,,,,,,"","","","",0,0,0
149392,Generic,https://github.com/ultraaost/external_libnfc-nxp.git,,,,0,,,,,,,1,1,1,26,26,1,1,736078,,,,,,,,"","","","",0,0,0
162935,Generic,https://github.com/pkg/json.git,,,,193,,,,,,,2,47,2,25,107,3,3,3082669,,,,,,,,"","","","",10,5,5
64762,Generic,https://github.com/sunny-heo/shalleat-react.git,,,,0,,,,,,,2,50,1,74,383,2,2,2530166,,,,,,,,"","","","",28,14,14
130854,Generic,https://github.com/oyvindberg/scalablytyped.git,,,,105,,,,,,,2,425,3,1254672,2535152,3,4,51256005,,,,,,,,"","","","",30,15,15
94447,Generic,https://github.com/petre-symfony/vue-symfony-casts-first-tutorial.git,,,,0,,,,,,,3,124,2,116,248,2,3,5252612,,,,,,,,"","","","",2,1,1
44134,Generic,https://github.com/twizzybomb/financecategorizer.git,,,,1,,,,,,,1,30,1,18,75,1,1,4146295,,,,,,,,"","","","",0,0,0
169320,Generic,https://github.com/gavinjoyce/myapp.git,,,,1,,,,,,,1,2,2,29,29,1,2,591,,,,,,,,"","","","",2,1,1
2599,Generic,https://github.com/levelp/qttetris.git,,,,1,,,,,,,1,1,1,23,23,1,1,52138908,,,,,,,,"","","","",18,9,9
33576,Generic,https://github.com/hexanerom/android_bionic.git,,,,0,,,,,,,1,8,8,19,21,4,12,108762430,,,,,,,,"","","","",0,0,0
66913,Generic,https://github.com/sumeragi-kaguya/sumeragi-kaguya.github.io.git,,,,0,,,,,,,1,40,2,2,40,2,3,13835225,,,,,,,,"","","","",0,0,0
188552,Generic,https://github.com/slimane/booklist.git,,,,0,,,,,,,1,6,2,9,11,2,2,327251,,,,,,,,"","","","",0,0,0
198093,Generic,https://github.com/munozyanez/phd.git,,,,0,,,,,,,1,22,2,352,423,2,2,1904299,,,,,,,,"","","","",0,0,0
174118,Generic,https://github.com/a0x8o/spark.git,,,,0,,,,,,,8,32,2,16916,14855,2,3,26429104,,,,,,,,"","","","",4,2,2
48735,Generic,https://github.com/zanvat41/cse219hw2-posemakerapp.git,,,,0,,,,,,,1,33,1,42,111,1,1,592420,,,,,,,,"","","","",0,0,0
