project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
0,Generic,https://github.com/evergreen-ci/evergreen.git,false,false,false,325,325,154551,12,,,,101,21,Go,204261016,false,true,true,false,1432749789,1628561351,1628574831,"main","Other","https://evergreen.mongodb.com/waterfall/evergreen","A Distributed Continuous Integration System from MongoDB",21,7571,102,58,107
1,Generic,https://github.com/nodejs/node.git,false,false,false,80906,80906,714287,1441,,,,20946,2956,JavaScript,393792845,true,true,false,false,1417031831,1628591402,1628588013,"master","Other","https://nodejs.org","Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:",30,67001,3592,260,3614
2,Generic,https://github.com/webpack/webpack.git,false,false,false,58983,58983,53036,306,,,,7925,1560,JavaScript,297093229,true,true,true,false,1331374094,1628591404,1628474717,"main","MIT License","https://webpack.js.org","A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",73,14450,799,622,814
3,Generic,https://github.com/meteor/meteor.git,false,false,false,42552,42552,83572,118,,,,5166,1663,JavaScript,306931134,true,true,true,false,1326938297,1628591421,1628522789,"devel","Other","https://www.meteor.com","Meteor, the JavaScript App Platform",1203,29237,581,282,586
4,Generic,https://github.com/facebook/react.git,false,false,false,172643,172643,168470,802,,,,34683,6705,JavaScript,258782808,true,true,true,true,1369412154,1628591469,1628568391,"main","MIT License","https://reactjs.org","A declarative, efficient, and flexible JavaScript library for building user interfaces.",108,17535,1748,797,1756
5,Generic,https://github.com/atom/atom.git,false,false,false,55848,55848,332107,783,,,,16334,2586,JavaScript,314759933,true,true,false,false,1327083501,1628591408,1628487061,"master","MIT License","https://atom.io",":atom: The hackable text editor",279,40401,675,576,684
6,Generic,https://github.com/facebook/react-native.git,false,false,false,97130,97130,740086,1936,,,,21125,3683,JavaScript,205974620,true,true,true,true,1420827016,1628587689,1628554873,"main","Other","https://reactnative.dev","A framework for building native apps with React.",63,28867,3219,758,3241
7,Generic,https://github.com/jquery/jquery.git,false,false,false,55212,55212,30932,77,,,,20062,3330,JavaScript,483716540,true,false,true,false,1238772014,1628591411,1627995954,"main","MIT License","https://jquery.com","jQuery JavaScript Library",4,7777,361,87,362
8,Generic,https://github.com/freecodecamp/freecodecamp.git,false,false,false,328458,328458,215412,219,,,,26322,8431,JavaScript,244227793,true,true,false,true,1419443359,1628591481,1628591252,"main","BSD 3-Clause ""New"" or ""Revised"" License","https://contribute.freecodecamp.org","freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.",10,28434,4638,755,4662
9,Generic,https://github.com/expressjs/express.git,false,false,false,53966,53966,8891,169,,,,9128,1778,JavaScript,381740277,true,true,true,false,1246042561,1628590214,1628157209,"master","MIT License","https://expressjs.com","Fast, unopinionated, minimalist web framework for node.",10,5695,308,142,308
10,Generic,https://github.com/30-seconds/30-seconds-of-code.git,false,false,false,81647,81647,28336,8,,,,8763,2257,JavaScript,115070800,true,true,true,false,1511976903,1628588742,1628589539,"master","Creative Commons Zero v1.0 Universal","https://www.30secondsofcode.org/js/p/1","Short JavaScript code snippets for all your development needs",1,5382,297,190,299
11,Generic,https://github.com/nodejs/citgm.git,false,false,false,447,447,1114,50,,,,136,38,JavaScript,187350799,true,true,false,false,1437607007,1627835837,1624957756,"main","Other","https://www.npmjs.com/package/citgm","Canary in the Gold Mine",6,902,67,17,68
12,Generic,https://github.com/axios/axios.git,false,false,false,86695,86695,3212,275,,,,8521,1226,JavaScript,213692676,true,true,false,false,1408401027,1628587667,1628497772,"master","MIT License","https://axios-http.com","Promise based HTTP client for the browser and node.js",3,1013,290,108,293
13,Generic,https://github.com/facebook/create-react-app.git,false,false,false,89550,89550,18413,1213,,,,22525,1916,JavaScript,159497321,true,true,false,true,1468767311,1628590541,1628550880,"main","MIT License","https://create-react-app.dev","Set up a modern web app by running one command.",22,2948,918,39,920
14,Generic,https://github.com/hakimel/reveal.js.git,false,false,false,56905,56905,17012,656,,,,15665,1744,JavaScript,318337885,true,true,true,true,1307472862,1628587723,1627430537,"master","MIT License","https://revealjs.com","The HTML Presentation Framework",4,2823,326,288,330
15,Generic,https://github.com/googlechromelabs/carlo.git,false,false,false,9262,9262,431,58,,,,331,192,JavaScript,63083839,true,true,true,false,1540746920,1628564895,1618491568,"master","Apache License 2.0","","Web rendering surface for Node applications",3,162,24,4,26
16,Generic,https://github.com/laravel/telescope.git,false,false,false,4039,4039,10283,0,,,,409,79,PHP,92883901,true,true,false,false,1535034863,1628438503,1628016442,"4.x","MIT License","https://laravel.com/docs/telescope","An elegant debug assistant for the Laravel framework.",5,1729,144,95,146
17,Generic,https://github.com/storybookjs/storybook.git,false,false,false,63898,63898,432763,1354,,,,6423,928,TypeScript,178733569,true,true,false,false,1458275024,1628591104,1628564824,"next","MIT License","https://storybook.js.org","📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!",437,38272,1669,960,1690
18,Generic,https://github.com/reduxjs/redux.git,false,false,false,56436,56436,24817,49,,,,14800,1379,TypeScript,195066331,true,true,false,true,1432943595,1628591317,1628167531,"master","Other","https://redux.js.org","Predictable state container for JavaScript apps",6,3409,889,356,895
