project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
3883,Generic,https://github.com/electron/electron.git,,,,58039,,,,,,,107,27175,1134,6460,66467,684,1141,234294529,,,,,,,,"","","","",34956,17478,17478
144873,Generic,https://github.com/atom/atom.git,,,,56673,,,,,,,183,38094,558,11633,64968,495,566,283703248,,,,,,,,"","","","",34354,17177,17177
106645,Generic,https://github.com/tonsky/firacode.git,,,,42929,,,,,,,2,447,88,1474,3504,28,89,181096296,,,,,,,,"","","","",1950,975,975
34642,Generic,https://github.com/gin-gonic/gin.git,,,,35121,,,,,,,6,1412,297,206,2488,110,299,194147177,,,,,,,,"","","","",4466,2233,2233
33955,Generic,https://github.com/astaxie/build-web-application-with-golang.git,,,,34372,,,,,,,1,5111,400,4274,4430,292,402,246810144,,,,,,,,"","","","",2220,1110,1110
1607,Generic,https://github.com/tesseract-ocr/tesseract.git,,,,31865,,,,,,,8,5483,172,3115,16505,110,173,421782504,,,,,,,,"","","","",5446,2723,2723
94464,Generic,https://github.com/kennethreitz/requests.git,,,,27139,,,,,,,7,6211,688,404,7416,594,702,298724299,,,,,,,,"","","","",8360,4180,4180
57330,Generic,https://github.com/rocketchat/rocket.chat.git,,,,26914,,,,,,,195,20576,798,12715,71566,425,804,165504963,,,,,,,,"","","","",34948,17474,17474
156893,Generic,https://github.com/v2ray/v2ray-core.git,,,,25530,,,,,,,2,5111,97,2583,15956,68,100,156032388,,,,,,,,"","","","",4638,2319,2319
154772,Generic,https://github.com/gogits/gogs.git,,,,25231,,,,,,,2,5394,502,4735,24278,272,505,205500459,,,,,,,,"","","","",9616,4808,4808
11450,Generic,https://github.com/bilibili/ijkplayer.git,,,,25220,,,,,,,6,2593,59,2141,7556,25,60,147679771,,,,,,,,"","","","",9542,4771,4771
79793,Generic,https://github.com/fastlane/fastlane.git,,,,24147,,,,,,,85,16121,1337,5229,31830,544,1353,187316003,,,,,,,,"","","","",27310,13655,13655
29292,Generic,https://github.com/dkhamsing/open-source-ios-apps.git,,,,22811,,,,,,,2,4625,291,47,4417,111,294,175015366,,,,,,,,"","","","",1576,788,788
8609,Generic,https://github.com/wg/wrk.git,,,,20879,,,,,,,2,76,1,250,831,1,1,223500923,,,,,,,,"","","","",812,406,406
143211,Generic,https://github.com/ggreer/the_silver_searcher.git,,,,20421,,,,,,,55,2125,250,123,2845,228,259,272158580,,,,,,,,"","","","",2776,1388,1388
188615,Generic,https://github.com/tornadoweb/tornado.git,,,,19942,,,,,,,21,4291,410,483,8521,360,413,343136651,,,,,,,,"","","","",3670,1835,1835
26228,Generic,https://github.com/reactivecocoa/reactivecocoa.git,,,,19876,,,,,,,13,9171,274,2226,16802,254,278,266182512,,,,,,,,"","","","",6812,3406,3406
55311,Generic,https://github.com/postcss/autoprefixer.git,,,,18671,,,,,,,4,2430,185,572,5273,105,186,515241126,,,,,,,,"","","","",1896,948,948
108438,Generic,https://github.com/metabase/metabase.git,,,,18586,,,,,,,247,21100,275,7306,59421,160,280,174535932,,,,,,,,"","","","",18728,9364,9364
116536,Generic,https://github.com/koalaman/shellcheck.git,,,,18145,,,,,,,4,1641,116,138,2318,86,119,244963798,,,,,,,,"","","","",3744,1872,1872
115779,Generic,https://github.com/jgm/pandoc.git,,,,17548,,,,,,,47,13853,399,2601,28338,212,401,437673631,,,,,,,,"","","","",11762,5881,5881
54456,Generic,https://github.com/jashkenas/coffeescript.git,,,,17481,,,,,,,2,4882,267,1166,17633,229,268,330414804,,,,,,,,"","","","",4722,2361,2361
144063,Generic,https://github.com/spf13/hugo.git,,,,17039,,,,,,,21,5886,726,6473,19893,40,727,224492082,,,,,,,,"","","","",6718,3359,3359
35412,Generic,https://github.com/labstack/echo.git,,,,16610,,,,,,,3,1483,200,1891,5664,66,201,171270775,,,,,,,,"","","","",2982,1491,1491
163325,Generic,https://github.com/seldaek/monolog.git,,,,16340,,,,,,,3,2380,446,289,4401,353,452,297588803,,,,,,,,"","","","",2900,1450,1450
